-,-,total,body.n.01,face.n.07,body_part.n.01,stinger.n.04,ear.n.01,eye.n.01,fin.n.06,hoof.n.01,nose.n.01,paw.n.01,tail.n.01,tooth.n.01
-,-,-,-,-,-,organ.n.01,sense_organ.n.01,sense_organ.n.01,extremity.n.01,animal_foot.n.01,chemoreceptor.n.01,animal_foot.n.01,project.n.05,bone.n.01
synset,hypernyms,3044,1223,1073,748,0,50,240,16,26,136,140,100,40
aquatic_mammal.n.01,placental.n.01,374,160,158,56,-,-,3,16,-,1,-,32,4
beaver.n.07,rodent.n.01,40,20,20,0,-,-,0,-,-,0,-,-,0
beluga.n.02,dolphin.n.02,0,0,0,0,-,-,-,-,-,-,-,-,-
dolphin.n.02,toothed_whale.n.01,62,20,20,22,-,-,0,10,-,-,-,12,0
hippopotamus.n.01,even-toed_ungulate.n.01,45,20,20,5,-,-,2,-,-,0,-,0,3
orca.n.01,dolphin.n.02,40,20,20,0,-,-,0,-,-,-,-,0,0
otter.n.02,musteline_mammal.n.01,40,20,20,0,-,-,-,-,-,-,-,-,-
seal.n.09,pinniped_mammal.n.01,47,20,20,7,-,-,0,5,-,1,-,0,1
walrus.n.01,pinniped_mammal.n.01,41,20,20,1,-,-,0,1,-,0,-,0,0
whale.n.02,cetacean.n.01,59,20,18,21,-,-,1,-,-,-,-,20,0
arachnid.n.01,arthropod.n.01,9,2,5,2,0,-,2,-,0,-,-,-,-
tarantula.n.02,spider.n.01,9,2,5,2,0,-,2,-,0,-,-,-,-
bird.n.01,vertebrate.n.01,583,310,223,50,,-,23,-,-,-,15,12,-
blue_jay.n.01,new_world_jay.n.01,53,26,15,12,-,-,2,-,-,-,7,3,-
cardinal.n.04,finch.n.01,50,35,15,0,-,-,0,-,-,-,0,0,-
chickadee.n.01,titmouse.n.01,24,24,0,0,-,-,0,-,-,-,0,0,-
chicken.n.02,domestic_fowl.n.01,43,20,22,1,-,-,1,-,-,-,0,0,-
falcon.n.01,hawk.n.01,42,20,22,0,-,-,0,-,-,-,0,0,-
flamingo.n.01,wading_bird.n.01,38,21,17,0,-,-,0,-,-,-,0,0,-
heron.n.02,wading_bird.n.01,40,20,20,0,-,-,0,-,-,-,0,0, 
owl.n.01,bird_of_prey.n.01,56,20,21,15,-,-,7,-,-,-,8,0,-
parrot.n.01,bird.n.01,54,20,25,9,-,-,9,-,-,-,0,0,-
peacock.n.02,peafowl.n.01,51,21,20,10,-,-,1,-,-,-,0,9,-
penguin.n.01,phenisciform_seabird.n.01,41,20,21,0,-,-,0,-,-,-,0,0,-
sparrow.n.01,passerine.n.01,26,21,5,0,-,-,0,-,-,-,0,0,-
swallow.n.03,oscine.n.01,22,20,2,0,-,-,0,-,-,-,0,0,-
swan.n.01,aquatic_bird.n.01,43,22,18,3,-,-,3,-,-,-,0,0,-
canine.n.02,carnivore.n.01,269,95,80,94,-,15,23,-,-,25,20,6,5
coyote.n.01,wolf.n.01,40,20,20,0,-,0,0,-,-,0,0,0,0
dog.n.01,canine.n.02,131,20,20,91,-,14,23,-,-,25,20,4,5
fox.n.01,canine.n.02,51,29,20,2,-,1,0,-,-,0,0,1,0
wolf.n.01,canine.n.02,47,26,20,1,-,0,0,-,-,0,0,1,0
feline.n.01,carnivore.n.01,363,104,99,160,-,4,37,-,-,29,61,14,15
cat.n.01,feline.n.01,98,20,18,60,-,0,20,-,-,20,20,0,0
hyena.n.01,canine.n.02,31,15,15,1,-,1,0,-,-,0,0,0,0
leopard.n.02,big_cat.n.01,57,18,15,24,-,0,3,-,-,1,13,5,2
lion.n.01,big_cat.n.01,86,20,21,45,-,0,8,-,-,7,21,3,6
lynx.n.02,wildcat.n.03,35,16,15,4,-,0,2,-,-,0,1,0,1
tiger.n.02,big_cat.n.01,56,15,15,26,-,3,4,-,-,1,6,6,6
fish.n.01,aquatic_vertebrate.n.01,155,99,56,0,-,-,0,0,-,-,-,0,0
anemone_fish.n.01,damselfish.n.01,7,6,1,0,-,-,0,0,-,-,-,0,-
angelfish.n.01,butterfly_fish.n.01,16,14,2,0,-,-,0,0,-,-,-,0,-
eel.n.02,soft-finned_fish.n.01,40,20,20,0,-,-,0,0,-,-,-,0,-
fish.n.01,aquatic_vertebrate.n.01,23,21,2,0,-,-,0,0,-,-,-,0,-
piranha.n.01,characin.n.01,37,17,20,0,-,-,0,0,-,-,-,0,0
redfish.n.01,rockfish.n.01,3,3,0,0,-,-,0,0,-,-,-,0,-
shark.n.01,elasmobranch.n.01,18,12,6,0,-,-,0,0,-,-,-,0,-
trout.n.02,salmonid.n.01,11,6,5,0,-,-,0,0,-,-,-,0,-
insect.n.01,arthropod.n.01,228,122,106,0,0,-,0,-,-,-,-,-,-
bee.n.01,hymenopterous_insect.n.01,46,30,16,0,0,-,0,-,-,-,-,-,-
butterfly.n.01,lepidopterous_insect.n.01,32,17,15,0,-,-,0,-,-,-,-,-,-
caterpillar.n.01,larva.n.01,30,15,15,0,-,-,0,-,-,-,-,-,-
dragonfly.n.01,odonate.n.01,30,15,15,0,-,-,0,-,-,-,-,-,-
fly.n.01,dipterous_insect.n.01,30,15,15,0,-,-,0,-,-,-,-,-,-
grasshopper.n.01,orthopterous_insect.n.01,30,15,15,0,-,-,0,-,-,-,-,-,-
ladybug.n.01,beetle.n.01,30,15,15,0,-,-,0,-,-,-,-,-,-
mammal.n.01,vertebrate.n.01,838,240,258,340,-,31,123,-,26,81,41,22,16
antelope.n.01,bovid.n.01,0,0,0,0,-,0,0,-,0,0,-,-,0
bear.n.01,carnivore.n.01,49,17,18,14,-,2,1,-,-,2,9,-,0
cow.n.01,cattle.n.01,71,15,18,38,-,1,16,-,0,21,-,-,0
elephant.n.01,pachyderm.n.01,96,15,16,65,-,4,25,-,-,14,17,5,0
giraffe.n.01,ruminant.n.01,68,15,19,34,-,2,20,-,10,2,-,0,0
horse.n.01,equine.n.01,133,15,19,99,-,14,32,-,16,20,-,6,11
koala.n.01,phalanger.n.01,36,15,15,6,-,0,1,-,-,3,2,-,0
monkey.n.01,primate.n.02,52,15,18,19,-,1,4,-,-,0,10,-,4
moose.n.01,deer.n.01,32,13,15,4,-,0,4,-,0,0,-,-,0
panda.n.01,procyonid.n.01,41,20,20,1,-,1,0,-,-,0,0,-,0
pig.n.01,swine.n.01,59,20,20,19,-,3,2,-,0,10,-,4,0
rabbit.n.01,leporid.n.01,20,20,20,20,-,2,7,-,-,7,2,1,1
raccoon.n.02,procyonid.n.01,41,20,20,1,-,0,0,-,-,0,1,-,0
sheep.n.01,bovid.n.01,50,20,20,10,-,1,7,-,-,2,0,-,0
squirrel.n.01,rodent.n.01,50,20,20,10,-,0,4,-,-,0,0,6,0
reptile.n.01,vertebrate.n.01,225,91,88,46,-,-,29,-,-,-,3,14,0
chameleon.n.03,lizard.n.01,1,0,1,0,-,-,0,-,-,-,0,0,0
crocodile.n.01,crocodilian_reptile.n.01,66,21,15,30,-,-,20,-,-,-,3,7,0
iguana.n.01,iguanid.n.01,38,17,19,2,-,-,1,-,-,-,0,1,0
lizard.n.01,saurian.n.01,46,20,19,7,-,-,4,-,-,-,0,3,0
snake.n.01,diapsid.n.01,37,17,17,3,-,-,3,-,-,-,-,-,0
turtle.n.02,chelonian.n.01,37,16,17,4,-,-,1,-,-,-,0,3,0
